FishId	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater
KANDR03_1	KANDR03	280	-74.488422	0.858531	0.807808
KANDR03_2	KANDR03	281	-87.638841	-2.404846	0.007007
KANDR03_3	KANDR03	280	-79.380361	-0.423049	0.336336
KANDR03_4	KANDR03	281	-74.175210	1.002941	0.850851
KANDR03_5	KANDR03	281	-74.557665	0.830517	0.789790
KANDR03_6	KANDR03	280	-79.705251	-0.515321	0.291291
KANDR03_7	KANDR03	280	-70.668800	1.809003	0.971972
KANDR03_8	KANDR03	281	-80.115601	-0.516326	0.301301
KANDR03_9	KANDR03	281	-75.695266	0.600600	0.711712
KANDR03_10	KANDR03	281	-76.512953	0.419006	0.652653
KANDR03_11	KANDR03	280	-77.673853	-0.012470	0.467467
KANDR03_12	KANDR03	281	-75.457604	0.707963	0.759760
KANDR03_13	KANDR03	281	-82.673520	-1.176693	0.128128
KANDR03_14	KANDR03	281	-69.992567	2.029134	0.983984
KANDR03_15	KANDR03	280	-82.657348	-1.257489	0.108108
KANDR03_16	KANDR03	280	-78.514261	-0.191211	0.421421
KANDR03_17	KANDR03	281	-73.987259	1.047146	0.855856
KANDR03_18	KANDR03	281	-75.972638	0.559963	0.713714
KANDR03_19	KANDR03	281	-74.175210	0.942407	0.818819
KANDR03_20	KANDR03	281	-77.880676	0.062797	0.522523
KANDR03_21	KANDR03	280	-80.032483	-0.614884	0.258258
KANDR03_22	KANDR03	280	-79.629840	-0.577314	0.268268
KANDR03_23	KANDR03	279	-79.461028	-0.513942	0.286286
KANDR03_24	KANDR03	281	-78.273108	-0.071038	0.459459
KANDR03_25	KANDR03	281	-80.174002	-0.579097	0.265265
KANDR03_26	KANDR03	280	-80.413740	-0.743767	0.217217
KANDR03_27	KANDR03	279	-78.834481	-0.374524	0.341341
KANDR03_28	KANDR03	279	-76.050764	0.265419	0.591592
KANDR03_29	KANDR03	278	-85.510676	-2.387076	0.011011
KANDR03_30	KANDR03	281	-76.450561	0.411322	0.670671
KANDR03_31	KANDR03	281	-75.900176	0.510601	0.692693
KANDR03_32	KANDR03	278	-77.670223	-0.197217	0.398398
KANDR03_33	KANDR03	270	-74.618155	0.197123	0.563564
KANDR03_34	KANDR03	277	-75.621024	0.339933	0.625626
KANDR03_35	KANDR03	280	-75.721429	0.489735	0.672673
KANDR03_36	KANDR03	281	-80.643121	-0.658384	0.257257
KANDR03_37	KANDR03	274	-77.532814	-0.399044	0.330330
KANDR03_38	KANDR03	281	-74.426802	0.910973	0.815816
KANDR03_39	KANDR03	281	-77.200027	0.225324	0.576577
KANDR03_40	KANDR03	281	-77.035531	0.270580	0.600601
KANDR03_41	KANDR03	280	-82.923454	-1.375593	0.083083
KANDR03_42	KANDR03	280	-77.525308	0.115148	0.524525
KANDR03_43	KANDR03	280	-73.706188	0.989139	0.831832
KANDR03_44	KANDR03	280	-78.729918	-0.299531	0.369369
KANDR03_45	KANDR03	279	-67.948020	2.595377	0.998999
KANDR03_46	KANDR03	278	-74.413130	0.703069	0.744745
KANDR03_47	KANDR03	279	-76.881539	0.109735	0.529530
KANDR03_48	KANDR03	280	-76.712541	0.270165	0.585586
KANDR03_49	KANDR03	281	-72.706738	1.345774	0.915916
KANDR03_50	KANDR03	281	-77.818625	0.093991	0.527528
KANDR03_51	KANDR03	281	-74.171108	0.972206	0.827828
KANDR03_52	KANDR03	280	-81.681075	-1.072743	0.140140
KANDR03_53	KANDR03	279	-75.896308	0.284703	0.597598
KANDR03_54	KANDR03	280	-74.929510	0.706114	0.752753
KANDR03_55	KANDR03	276	-84.053274	-1.995557	0.023023
KANDR03_56	KANDR03	281	-81.580655	-0.984843	0.167167
KANDR03_57	KANDR03	280	-77.556535	0.041201	0.498498
KANDR03_58	KANDR03	280	-76.677052	0.225177	0.577578
KANDR03_59	KANDR03	281	-79.596934	-0.365342	0.343343
KANDR03_60	KANDR03	281	-83.715785	-1.470667	0.072072
KANDR03_61	KANDR03	281	-72.447417	1.507838	0.938939
KANDR03_62	KANDR03	279	-79.989465	-0.729660	0.235235
KANDR03_63	KANDR03	281	-78.179089	-0.093047	0.447447
KANDR03_64	KANDR03	281	-84.806863	-1.818141	0.041041
KANDR03_65	KANDR03	279	-75.643085	0.432939	0.664665
KANDR03_66	KANDR03	281	-73.732550	1.083454	0.874875
KANDR03_67	KANDR03	281	-82.078889	-1.037655	0.157157
KANDR03_68	KANDR03	281	-74.001568	1.057203	0.850851
KANDR03_69	KANDR03	281	-76.199139	0.427041	0.662663
KANDR03_70	KANDR03	281	-79.793117	-0.436206	0.321321
KANDR03_71	KANDR03	280	-77.116290	0.150105	0.536537
KANDR03_72	KANDR03	281	-82.270704	-1.058839	0.144144
KANDR03_73	KANDR03	281	-80.336259	-0.563826	0.285285
KANDR03_74	KANDR03	281	-73.927543	1.107834	0.870871
KANDR03_75	KANDR03	281	-72.975259	1.270161	0.915916
KANDR03_76	KANDR03	281	-72.609376	1.438095	0.934935
KANDR03_77	KANDR03	281	-83.365303	-1.449688	0.080080
KANDR03_78	KANDR03	280	-76.914497	0.197646	0.568569
KANDR03_79	KANDR03	281	-78.322297	-0.093152	0.448448
KANDR03_80	KANDR03	281	-72.115920	1.493811	0.941942
KANDR03_81	KANDR03	281	-77.918380	0.024760	0.498498
KANDR03_82	KANDR03	280	-77.882785	-0.126438	0.434434
KANDR03_83	KANDR03	280	-78.973930	-0.250074	0.378378
KANDR03_84	KANDR03	281	-80.719935	-0.648235	0.258258
KANDR03_85	KANDR03	281	-78.575780	-0.144571	0.424424
KANDR03_86	KANDR03	279	-76.861883	0.045685	0.497497
KANDR03_87	KANDR03	280	-76.189498	0.375377	0.633634
KANDR03_88	KANDR03	278	-72.734032	1.023573	0.845846
KANDR03_89	KANDR03	281	-77.643814	0.113616	0.519520
KANDR03_90	KANDR03	278	-78.411775	-0.223724	0.411411
KANVI07_1	KANVI07	280	-83.240785	-0.995001	0.154154
KANVI07_2	KANVI07	281	-70.869626	2.276845	0.992993
KANVI07_3	KANVI07	280	-78.640017	0.182304	0.579580
KANVI07_4	KANVI07	279	-72.090474	1.731567	0.963964
KANVI07_5	KANVI07	281	-76.255068	0.902385	0.814815
KANVI07_6	KANVI07	281	-74.762735	1.266530	0.906907
KANVI07_7	KANVI07	280	-78.362378	0.225213	0.585586
KANVI07_8	KANVI07	280	-79.307929	0.012496	0.494494
KANVI07_9	KANVI07	281	-77.504110	0.601896	0.701702
KANVI07_10	KANVI07	280	-78.549682	0.150895	0.548549
KANVI07_11	KANVI07	280	-79.360701	0.104750	0.534535
KANVI07_12	KANVI07	279	-71.937901	1.808583	0.964965
KANVI07_13	KANVI07	271	-74.644608	0.253071	0.573574
KANVI07_14	KANVI07	281	-78.402969	0.355596	0.639640
KANVI07_15	KANVI07	278	-80.352629	-0.515261	0.297297
KANVI07_16	KANVI07	274	-72.487491	1.229070	0.888889
KANVI07_17	KANVI07	281	-80.856205	-0.342517	0.367367
KANVI07_18	KANVI07	281	-83.337362	-0.986770	0.168168
KANVI07_19	KANVI07	281	-80.383044	-0.200228	0.408408
KANVI07_20	KANVI07	281	-84.363686	-1.148571	0.115115
KANVI07_21	KANVI07	281	-76.639745	0.706535	0.748749
KANVI07_22	KANVI07	281	-79.689359	-0.008329	0.475475
KANVI07_23	KANVI07	279	-95.597355	-4.339184	0.000000
KANVI07_24	KANVI07	281	-74.762735	1.279491	0.897898
KANVI07_25	KANVI07	281	-79.800751	-0.028168	0.479479
KANVI07_26	KANVI07	281	-78.646745	0.244539	0.588589
KANVI07_27	KANVI07	281	-83.337086	-1.007135	0.158158
KANVI07_28	KANVI07	277	-90.304521	-3.287164	0.002002
KANVI07_29	KANVI07	281	-77.859106	0.463448	0.665666
KANVI07_30	KANVI07	281	-79.668354	0.000002	0.475475
KANVI07_31	KANVI07	275	-76.929159	0.017829	0.493493
KANVI07_32	KANVI07	280	-83.136888	-0.957293	0.171171
