## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
0	0.04843735	0.02918412	0.03511836	0.02365090	0.02967054	0.04109832	0.03699876	0.03709518	0.03499035	0.02414890	0.03100847	0.04059559	0.03446124	0.04232055	0.03582463	0.04141619	0.04447205	0.02918508	0.03434684	0.04023245	0.03501351	0.02833380	0.02275942	0.03835874	0.04227883	0.03521723	0.04581052	0.03797203
20	0.05047003	0.02045008	0.02522724	0.02115815	0.02916159	0.04842380	0.04226455	0.03633194	0.03229649	0.02755611	0.04807456	0.04193540	0.02797209	0.03526615	0.03825536	0.04652632	0.04746365	0.01514206	0.05032540	0.04006902	0.04077538	0.02576486	0.02671433	0.03754313	0.03105655	0.03692772	0.03997593	0.03687211
40	0.04609099	0.01813830	0.02580291	0.03128156	0.02866950	0.04018775	0.04005630	0.04223477	0.04419350	0.02313058	0.03434968	0.03892831	0.02412422	0.03890588	0.04609633	0.02830286	0.03902253	0.01581863	0.04134245	0.04907218	0.04552919	0.02666502	0.01677881	0.04229942	0.04485522	0.04781207	0.04475341	0.03555765
60	0.04262437	0.02623828	0.02794734	0.02845527	0.03361117	0.03409500	0.03201879	0.04831142	0.03863180	0.02566203	0.03955577	0.04263668	0.01674004	0.04006584	0.04013087	0.02905352	0.04547948	0.02230532	0.04304063	0.04352968	0.04777470	0.03124968	0.02530514	0.03166093	0.04158457	0.04525297	0.04016822	0.03687052
80	0.04932617	0.01801278	0.03446317	0.03368590	0.03255245	0.03367250	0.04222825	0.03602868	0.04118448	0.02693971	0.03443807	0.04216166	0.02283919	0.05889918	0.03994977	0.03119869	0.04948829	0.01558158	0.04119153	0.03643066	0.05272192	0.02228162	0.02449282	0.03562504	0.02722361	0.03877788	0.04233515	0.03626925
100	0.04909620	0.02868211	0.01968281	0.02842656	0.03239410	0.03174808	0.03944452	0.03153781	0.04134886	0.02241936	0.03391783	0.03844501	0.03231581	0.04122277	0.03433149	0.03526135	0.05124153	0.02155875	0.05545260	0.05021911	0.04444890	0.02649584	0.02629886	0.03709305	0.03048650	0.03730835	0.04944597	0.02967587
120	0.04978660	0.01890704	0.02058609	0.02301327	0.03258247	0.03364339	0.04270004	0.05179950	0.03464640	0.02621996	0.04414900	0.04680884	0.02143206	0.04129715	0.03375178	0.03626660	0.03480638	0.01880741	0.04199734	0.04144667	0.04917062	0.02581001	0.02255085	0.04828015	0.04247029	0.04243880	0.03998411	0.03464717
140	0.04345839	0.01927822	0.02813098	0.02616916	0.02921184	0.02568055	0.04260354	0.03278238	0.04034835	0.02220134	0.04046311	0.03963873	0.01876037	0.04732158	0.03927347	0.03577825	0.04570926	0.01405157	0.05009516	0.04837198	0.04935557	0.03056037	0.01837784	0.05040982	0.03727686	0.04169152	0.04193091	0.04106888
160	0.04765016	0.01818274	0.02834988	0.02191287	0.03333672	0.04352979	0.03740920	0.04465921	0.04294357	0.02149444	0.04501164	0.03277537	0.02772728	0.04524420	0.03914118	0.03477001	0.04058267	0.02558181	0.03443596	0.03570648	0.04287968	0.02778418	0.03124802	0.04324826	0.03785620	0.03781220	0.04073040	0.03799588
180	0.05218643	0.02111557	0.02928892	0.03170571	0.03594423	0.03091863	0.03077011	0.05627978	0.03481682	0.02299438	0.03328587	0.04326434	0.02001166	0.04089999	0.03298834	0.03669562	0.03152376	0.02470111	0.04714164	0.04537325	0.04686201	0.02773371	0.02258814	0.04067371	0.03155960	0.03427653	0.05608745	0.03831268
200	0.04559318	0.02506188	0.02687843	0.02113405	0.03149855	0.04372065	0.03261406	0.03548888	0.04028699	0.03023479	0.03708986	0.03666837	0.02261595	0.04299200	0.04172070	0.03711963	0.03232925	0.02104726	0.03947776	0.03709581	0.05007192	0.02571550	0.02627431	0.03794139	0.05218714	0.04721831	0.04506056	0.03486282
220	0.04081614	0.02515092	0.02763812	0.03073968	0.03261815	0.03864359	0.04032676	0.03442634	0.04208099	0.02475543	0.03652528	0.03829996	0.03849773	0.02850431	0.03656696	0.04104051	0.03044228	0.01941728	0.03306395	0.04478679	0.04573348	0.02289323	0.01422648	0.03808909	0.04961884	0.04748797	0.05868618	0.03892358
