## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
KANDR03_1	280	0.96995556	0.00192549	0.00037823	0.00005001	0.00000000	0.00015155	0.00005197	0.00935310	0.00927035	0.00000098	0.00070065	0.00000000	0.00128217	0.00018239	0.00000000	0.00052720	0.00020333	0.00000741	0.00046837	0.00031886	0.00018265	0.00000340	0.00000018	0.00000000	0.00485872	0.00001160	0.00011582	0.00000000
KANDR03_2	281	0.94016722	0.00000910	0.00003700	0.00122608	0.00000000	0.00023250	0.00173580	0.00000014	0.00404167	0.00000002	0.00483698	0.00000000	0.00234365	0.00010206	0.00000000	0.00078479	0.00163132	0.00002117	0.00004155	0.00179281	0.00024130	0.00008245	0.00000083	0.00000000	0.00003325	0.01346346	0.02717483	0.00000000
KANDR03_3	280	0.25276580	0.00000108	0.00053198	0.05328031	0.00000000	0.33968588	0.01087441	0.00564897	0.10285818	0.00002538	0.00017319	0.00000000	0.00293099	0.00817060	0.00000000	0.16655539	0.00255739	0.00041128	0.01843028	0.00102658	0.00642176	0.00342826	0.00139807	0.00000000	0.01863115	0.00385894	0.00033413	0.00000000
KANDR03_4	281	0.99890039	0.00000023	0.00001106	0.00000006	0.00000000	0.00002927	0.00001523	0.00005016	0.00000190	0.00000125	0.00028998	0.00000000	0.00002397	0.00000365	0.00000000	0.00005798	0.00005436	0.00000299	0.00001189	0.00003476	0.00000432	0.00000000	0.00000084	0.00000000	0.00002526	0.00006784	0.00041259	0.00000000
KANDR03_5	281	0.99757809	0.00196761	0.00000150	0.00000947	0.00000000	0.00002927	0.00003879	0.00000090	0.00031760	0.00000000	0.00000065	0.00000000	0.00000815	0.00000552	0.00000000	0.00001392	0.00000826	0.00000056	0.00000219	0.00000000	0.00000014	0.00000292	0.00000000	0.00000000	0.00001379	0.00000042	0.00000026	0.00000000
KANDR03_6	280	0.90505458	0.00005939	0.00001719	0.00032876	0.00000000	0.01247233	0.00261078	0.00003078	0.00009557	0.00011856	0.00083465	0.00000000	0.00108850	0.00484790	0.00000000	0.00203834	0.00010856	0.01834107	0.00023669	0.04872078	0.00000355	0.00003540	0.00006050	0.00000000	0.00095158	0.00040874	0.00153581	0.00000000
KANDR03_7	280	0.02803506	0.00000022	0.10095687	0.15143500	0.00000000	0.01989762	0.01322993	0.00159529	0.00430578	0.00000244	0.08258920	0.00000000	0.09295141	0.23154616	0.00000000	0.01976905	0.00555206	0.00200457	0.02473351	0.02137801	0.00472353	0.00000061	0.00005507	0.00000000	0.00791935	0.18058500	0.00673411	0.00000015
KANDR03_8	281	0.94325105	0.00005077	0.00024914	0.00000493	0.00000000	0.00043550	0.00066884	0.03786337	0.00002200	0.00000005	0.00052893	0.00000000	0.00371725	0.00065780	0.00000000	0.00007209	0.00196049	0.00382587	0.00320017	0.00000347	0.00014829	0.00001963	0.00003353	0.00000000	0.00074365	0.00241537	0.00012427	0.00000355
KANDR03_9	281	0.94981826	0.00173733	0.00719277	0.00000124	0.00000000	0.00011105	0.01322693	0.01296694	0.00289508	0.00000116	0.00002613	0.00000000	0.00000190	0.00067676	0.00000000	0.00046004	0.00355311	0.00018820	0.00132030	0.00188075	0.00001155	0.00014470	0.00001331	0.00000000	0.00221308	0.00103658	0.00052285	0.00000000
KANDR03_10	281	0.99376447	0.00018862	0.00000056	0.00000072	0.00000000	0.00270082	0.00026223	0.00021898	0.00011693	0.00000002	0.00001091	0.00000000	0.00157402	0.00002880	0.00000000	0.00002241	0.00030158	0.00000315	0.00003148	0.00002760	0.00000327	0.00001025	0.00000001	0.00000000	0.00006450	0.00053992	0.00012872	0.00000002
KANDR03_11	280	0.78973503	0.09116886	0.00001368	0.00000059	0.00000000	0.00592760	0.01093980	0.09218829	0.00108551	0.00000001	0.00005763	0.00000000	0.00011623	0.00011161	0.00000000	0.00163789	0.00085418	0.00063203	0.00004342	0.00000006	0.00069037	0.00003343	0.00000158	0.00000000	0.00102950	0.00006182	0.00367085	0.00000000
KANDR03_12	281	0.96659423	0.00003232	0.00024798	0.00002062	0.00000000	0.00000597	0.00026128	0.00086847	0.00001533	0.00000102	0.00007797	0.00000000	0.00000222	0.00004329	0.00000000	0.00001517	0.00000843	0.00016158	0.00000444	0.00005643	0.00003040	0.00000002	0.00000246	0.00000000	0.00021222	0.03119819	0.00013997	0.00000000
KANDR03_13	281	0.22956499	0.00544881	0.00960845	0.00054717	0.00000000	0.01561627	0.00208431	0.00382799	0.39311923	0.00003505	0.01617142	0.00000000	0.08437214	0.01797716	0.00000000	0.00441296	0.00095435	0.00832403	0.00057854	0.02059073	0.00000837	0.18074752	0.00000011	0.00000000	0.00009144	0.00019944	0.00571938	0.00000015
KANDR03_14	281	0.89202734	0.00015283	0.00000887	0.00291844	0.00000000	0.00009074	0.00505996	0.02063215	0.04847710	0.00002681	0.00003251	0.00000000	0.00001322	0.00088143	0.00000000	0.00038365	0.01489694	0.00021046	0.00733070	0.00001587	0.00022988	0.00005779	0.00000015	0.00000000	0.00150886	0.00462035	0.00042386	0.00000011
KANDR03_15	280	0.00896301	0.00906596	0.01286478	0.00011200	0.00000000	0.00075087	0.00006588	0.00203455	0.00932633	0.00000919	0.00406880	0.00000000	0.00144421	0.12646115	0.00000000	0.08158168	0.03884993	0.00010149	0.58779842	0.01444857	0.00460231	0.00516685	0.00000035	0.00000000	0.03933533	0.00017326	0.05277494	0.00000010
KANDR03_16	280	0.90592308	0.02487773	0.00005522	0.00002284	0.00000000	0.00015867	0.05074606	0.00129203	0.00069339	0.00000000	0.00078101	0.00000049	0.00001604	0.00116812	0.00000003	0.00074053	0.00094377	0.00360377	0.00066426	0.00000052	0.00009960	0.00008185	0.00000003	0.00000000	0.00225441	0.00587017	0.00000639	0.00000000
KANDR03_17	281	0.36482541	0.00054289	0.06104982	0.00175753	0.00000000	0.00858818	0.00509548	0.01726211	0.03663939	0.00000002	0.00719631	0.00000000	0.00089716	0.07174618	0.00000000	0.10419231	0.00203255	0.04260957	0.17710326	0.00017216	0.03762384	0.00001675	0.00020447	0.00000000	0.04829696	0.00048040	0.01166677	0.00000048
KANDR03_18	281	0.38114124	0.00004485	0.01354094	0.00012838	0.00000000	0.00080720	0.15401635	0.00057896	0.16614513	0.00000001	0.00047388	0.00000000	0.01484600	0.02205421	0.00000008	0.02797086	0.13685036	0.03768818	0.00443009	0.00259499	0.00520953	0.00003966	0.00000311	0.00000000	0.01015916	0.01734007	0.00393676	0.00000000
KANDR03_19	281	0.99890039	0.00000023	0.00001106	0.00000006	0.00000000	0.00002927	0.00001523	0.00005016	0.00000190	0.00000125	0.00028998	0.00000000	0.00002397	0.00000365	0.00000000	0.00005798	0.00005436	0.00000299	0.00001189	0.00003476	0.00000432	0.00000000	0.00000084	0.00000000	0.00002526	0.00006784	0.00041259	0.00000000
KANDR03_20	281	0.83884203	0.00332672	0.00003900	0.00016106	0.00000000	0.03131524	0.00016029	0.00024541	0.06485398	0.00195231	0.00671688	0.00000000	0.00020897	0.02412210	0.00000000	0.00204563	0.00612353	0.00301084	0.01282422	0.00000491	0.00006976	0.00000992	0.00000232	0.00000000	0.00165406	0.00027923	0.00203122	0.00000037
KANDR03_21	280	0.87703888	0.00747265	0.00096833	0.00007470	0.00000000	0.01995959	0.00190122	0.00018723	0.00182782	0.00000005	0.00444543	0.00000000	0.00012799	0.00319470	0.00000000	0.03790509	0.00452714	0.01916564	0.00244776	0.00000020	0.00101103	0.00000005	0.00786635	0.00000000	0.00460693	0.00021661	0.00505460	0.00000000
KANDR03_22	280	0.03038147	0.00004697	0.00228254	0.00028707	0.00000000	0.00772321	0.00058683	0.00942027	0.00464867	0.00000317	0.02705391	0.00000000	0.00574309	0.12957807	0.00000000	0.16741594	0.01325158	0.00250381	0.19517003	0.00088095	0.00516902	0.00006995	0.00000219	0.00000000	0.01117327	0.32936742	0.05723941	0.00000115
KANDR03_23	279	0.40397205	0.43057529	0.00575925	0.00001354	0.00000000	0.00024436	0.12133748	0.00038653	0.00707394	0.00000009	0.00330436	0.00000000	0.00011037	0.00013407	0.00000000	0.01225594	0.00056607	0.00004611	0.00031038	0.00010991	0.00039905	0.00000284	0.00000025	0.00000000	0.01270152	0.00003503	0.00066157	0.00000000
KANDR03_24	281	0.53454635	0.00162241	0.01092374	0.00194086	0.00000000	0.17789694	0.02413106	0.06423652	0.01072030	0.00335576	0.00816415	0.00000000	0.00742435	0.00530158	0.00000000	0.00205813	0.01850249	0.00037817	0.00129100	0.00202919	0.00042386	0.00003973	0.00063119	0.00000000	0.00690102	0.00380609	0.11367510	0.00000001
KANDR03_25	281	0.92501098	0.00008874	0.00002416	0.00006471	0.00000000	0.00327942	0.00003818	0.00035434	0.00001638	0.00000017	0.00000159	0.00000000	0.00776965	0.00889186	0.00000000	0.00531722	0.00152047	0.00076262	0.02763108	0.00011434	0.00006023	0.00002861	0.00000005	0.00000000	0.00088587	0.01733323	0.00080611	0.00000000
