## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
KANDR03_1	280	0.96886128	0.00207383	0.00044645	0.00005345	0.00000000	0.00015920	0.00005207	0.00957268	0.00954387	0.00000102	0.00073200	0.00000000	0.00162558	0.00018029	0.00000000	0.00053829	0.00019914	0.00000936	0.00046759	0.00032532	0.00018317	0.00000356	0.00000019	0.00000000	0.00484792	0.00001184	0.00011188	0.00000000
KANDR03_2	281	0.93967437	0.00000981	0.00004370	0.00131117	0.00000000	0.00024437	0.00174023	0.00000014	0.00416344	0.00000003	0.00505645	0.00000000	0.00297318	0.00010095	0.00000000	0.00080177	0.00159870	0.00002677	0.00004151	0.00183028	0.00024214	0.00008622	0.00000088	0.00000000	0.00003320	0.01375343	0.02626728	0.00000000
KANDR03_3	280	0.24552632	0.00000113	0.00061063	0.05537472	0.00000000	0.34698936	0.01059544	0.00562235	0.10297623	0.00002558	0.00017595	0.00000000	0.00361368	0.00785399	0.00000000	0.16537369	0.00243574	0.00050545	0.01789259	0.00101855	0.00626290	0.00348422	0.00143872	0.00000000	0.01807771	0.00383116	0.00031389	0.00000000
KANDR03_4	281	0.99888602	0.00000024	0.00001307	0.00000006	0.00000000	0.00003079	0.00001527	0.00005140	0.00000195	0.00000129	0.00030330	0.00000000	0.00003043	0.00000361	0.00000000	0.00005927	0.00005330	0.00000378	0.00001189	0.00003551	0.00000434	0.00000000	0.00000089	0.00000000	0.00002524	0.00006934	0.00039902	0.00000000
KANDR03_5	281	0.99740964	0.00212123	0.00000177	0.00001013	0.00000000	0.00003077	0.00003890	0.00000092	0.00032728	0.00000000	0.00000068	0.00000000	0.00001034	0.00000546	0.00000000	0.00001422	0.00000810	0.00000070	0.00000219	0.00000000	0.00000014	0.00000305	0.00000000	0.00000000	0.00001377	0.00000043	0.00000025	0.00000000
KANDR03_6	280	0.89886488	0.00006360	0.00002017	0.00034935	0.00000000	0.01302645	0.00260090	0.00003132	0.00009783	0.00012221	0.00086701	0.00000000	0.00137216	0.00476464	0.00000000	0.00206930	0.00010571	0.02304686	0.00023494	0.04942459	0.00000354	0.00003678	0.00006366	0.00000000	0.00094404	0.00041490	0.00147514	0.00000000
KANDR03_7	280	0.02640647	0.00000022	0.11237035	0.15261607	0.00000000	0.01970920	0.01249971	0.00153964	0.00418003	0.00000239	0.08136381	0.00000000	0.11112723	0.21582564	0.00000000	0.01903368	0.00512763	0.00238889	0.02328392	0.02056768	0.00446702	0.00000061	0.00005495	0.00000000	0.00745113	0.17384928	0.00613430	0.00000015
KANDR03_8	281	0.94037879	0.00005457	0.00029352	0.00000525	0.00000000	0.00045658	0.00066886	0.03867793	0.00002260	0.00000005	0.00055154	0.00000000	0.00470385	0.00064897	0.00000000	0.00007346	0.00191644	0.00482585	0.00318867	0.00000353	0.00014843	0.00002048	0.00003542	0.00000000	0.00074058	0.00246116	0.00011982	0.00000366
KANDR03_9	281	0.94798528	0.00186967	0.00848329	0.00000132	0.00000000	0.00011656	0.01324200	0.01326072	0.00297811	0.00000120	0.00002728	0.00000000	0.00000240	0.00066842	0.00000000	0.00046934	0.00347715	0.00023766	0.00131703	0.00191735	0.00001157	0.00015110	0.00001408	0.00000000	0.00220638	0.00105742	0.00050467	0.00000000
KANDR03_10	281	0.99317622	0.00020326	0.00000067	0.00000077	0.00000000	0.00283855	0.00026288	0.00022424	0.00012044	0.00000002	0.00001141	0.00000000	0.00199668	0.00002848	0.00000000	0.00002290	0.00029553	0.00000398	0.00003145	0.00002818	0.00000328	0.00001072	0.00000001	0.00000000	0.00006439	0.00055151	0.00012441	0.00000002
