## population PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
KANDR03_1	Posterior.Mean	0.96964919	0.00192802	0.00038145	0.00005052	0.00000000	0.00015341	0.00005156	0.00941652	0.00938420	0.00000099	0.00071553	0.00000000	0.00128936	0.00018451	0.00000000	0.00053110	0.00020302	0.00000740	0.00047417	0.00032106	0.00018426	0.00000342	0.00000018	0.00000000	0.00494125	0.00001164	0.00011723	0.00000000
KANDR03_1	SD	0.00417569	0.00040512	0.00009389	0.00001023	0.00000000	0.00003364	0.00000982	0.00163868	0.00173697	0.00000018	0.00014265	0.00000000	0.00036460	0.00003819	0.00000000	0.00010971	0.00004204	0.00000193	0.00009019	0.00005856	0.00003212	0.00000065	0.00000004	0.00000000	0.00096821	0.00000249	0.00002238	0.00000000
KANDR03_2	Posterior.Mean	0.93965746	0.00000911	0.00003730	0.00123755	0.00000000	0.00023521	0.00172086	0.00000014	0.00408865	0.00000003	0.00493614	0.00000000	0.00235469	0.00010319	0.00000000	0.00079008	0.00162777	0.00002112	0.00004204	0.00180401	0.00024327	0.00008282	0.00000084	0.00000000	0.00003380	0.01350262	0.02747131	0.00000000
KANDR03_2	SD	0.00827627	0.00000189	0.00000912	0.00024755	0.00000000	0.00005118	0.00032374	0.00000002	0.00074689	0.00000000	0.00097203	0.00000000	0.00066035	0.00002119	0.00000000	0.00016161	0.00033377	0.00000546	0.00000789	0.00032467	0.00004181	0.00001545	0.00000016	0.00000000	0.00000658	0.00282821	0.00508735	0.00000000
KANDR03_3	Posterior.Mean	0.25404772	0.00000108	0.00053333	0.05348062	0.00000000	0.33809809	0.01072985	0.00566151	0.10320416	0.00002540	0.00017580	0.00000000	0.00293479	0.00822331	0.00000000	0.16604176	0.00253983	0.00040897	0.01856460	0.00102775	0.00644551	0.00342626	0.00140586	0.00000000	0.01883129	0.00385589	0.00033662	0.00000000
KANDR03_3	SD	0.02948571	0.00000020	0.00011989	0.00942097	0.00000000	0.04312264	0.00180896	0.00087930	0.01390438	0.00000385	0.00003052	0.00000000	0.00080035	0.00154714	0.00000000	0.02579183	0.00047097	0.00010050	0.00310773	0.00016009	0.00097292	0.00056002	0.00024011	0.00000000	0.00315648	0.00075228	0.00005784	0.00000000
KANDR03_4	Posterior.Mean	0.99888600	0.00000023	0.00001116	0.00000006	0.00000000	0.00002966	0.00001512	0.00005055	0.00000192	0.00000125	0.00029637	0.00000000	0.00002413	0.00000369	0.00000000	0.00005846	0.00005432	0.00000299	0.00001205	0.00003503	0.00000436	0.00000000	0.00000085	0.00000000	0.00002572	0.00006816	0.00041793	0.00000000
KANDR03_4	SD	0.00015566	0.00000005	0.00000277	0.00000001	0.00000000	0.00000657	0.00000291	0.00000897	0.00000036	0.00000023	0.00005980	0.00000000	0.00000687	0.00000077	0.00000000	0.00001221	0.00001137	0.00000079	0.00000232	0.00000648	0.00000077	0.00000000	0.00000017	0.00000000	0.00000511	0.00001472	0.00008077	0.00000000
KANDR03_5	Posterior.Mean	0.99756905	0.00197168	0.00000151	0.00000957	0.00000000	0.00002965	0.00003851	0.00000091	0.00032180	0.00000000	0.00000067	0.00000000	0.00000820	0.00000559	0.00000000	0.00001403	0.00000826	0.00000056	0.00000222	0.00000000	0.00000014	0.00000293	0.00000000	0.00000000	0.00001404	0.00000042	0.00000027	0.00000000
KANDR03_5	SD	0.00046202	0.00041859	0.00000037	0.00000196	0.00000000	0.00000656	0.00000742	0.00000016	0.00006075	0.00000000	0.00000013	0.00000000	0.00000234	0.00000117	0.00000000	0.00000293	0.00000173	0.00000015	0.00000043	0.00000000	0.00000002	0.00000056	0.00000000	0.00000000	0.00000279	0.00000009	0.00000005	0.00000000
