## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
KANDR03_1	280	0.96343234	0.00411709	0.00065423	0.00008240	0.00000000	0.00018668	0.00005440	0.01034018	0.01045485	0.00000171	0.00080539	0.00000000	0.00247126	0.00018751	0.00000000	0.00060008	0.00020886	0.00001693	0.00048820	0.00034022	0.00017689	0.00000583	0.00000035	0.00000000	0.00525539	0.00001327	0.00010593	0.00000000
KANDR03_2	281	0.93568335	0.00001950	0.00006413	0.00202419	0.00000000	0.00028695	0.00182043	0.00000015	0.00456707	0.00000004	0.00557096	0.00000000	0.00452607	0.00010513	0.00000000	0.00089503	0.00167906	0.00004848	0.00004340	0.00191667	0.00023416	0.00014167	0.00000160	0.00000000	0.00003604	0.01543251	0.02490341	0.00000000
KANDR03_3	280	0.21657900	0.00000199	0.00079377	0.07573061	0.00000000	0.36095105	0.00981869	0.00538730	0.10006660	0.00003808	0.00017173	0.00000000	0.00487322	0.00724605	0.00000000	0.16353785	0.00226620	0.00081108	0.01657163	0.00094488	0.00536512	0.00507159	0.00231765	0.00000000	0.01738407	0.00380823	0.00026362	0.00000000
KANDR03_4	281	0.99881108	0.00000049	0.00001926	0.00000009	0.00000000	0.00003630	0.00001604	0.00005583	0.00000215	0.00000218	0.00033556	0.00000000	0.00004651	0.00000377	0.00000000	0.00006644	0.00005622	0.00000688	0.00001248	0.00003734	0.00000421	0.00000000	0.00000163	0.00000000	0.00002751	0.00007813	0.00037988	0.00000000
KANDR03_5	281	0.99524713	0.00422574	0.00000260	0.00001567	0.00000000	0.00003621	0.00004078	0.00000100	0.00035976	0.00000000	0.00000076	0.00000000	0.00001578	0.00000570	0.00000000	0.00001591	0.00000853	0.00000128	0.00000230	0.00000000	0.00000013	0.00000502	0.00000000	0.00000000	0.00001498	0.00000049	0.00000024	0.00000000
KANDR03_6	280	0.87633532	0.00012380	0.00002898	0.00052806	0.00000000	0.01497669	0.00266389	0.00003317	0.00010507	0.00020103	0.00093526	0.00000000	0.00204517	0.00485846	0.00000000	0.00226169	0.00010871	0.04087426	0.00024050	0.05067559	0.00000335	0.00005918	0.00011334	0.00000000	0.00100335	0.00045582	0.00136931	0.00000000
KANDR03_7	280	0.02115227	0.00000036	0.13264505	0.18953459	0.00000000	0.01861785	0.01051871	0.00133968	0.00368858	0.00000323	0.07211263	0.00000000	0.13608677	0.18081833	0.00000000	0.01709240	0.00433223	0.00348101	0.01958287	0.01732654	0.00347496	0.00000080	0.00008039	0.00000000	0.00650667	0.15692547	0.00467847	0.00000014
KANDR03_8	281	0.93027122	0.00010778	0.00042789	0.00000806	0.00000000	0.00053265	0.00069511	0.04156281	0.00002463	0.00000008	0.00060369	0.00000000	0.00711391	0.00067147	0.00000000	0.00008147	0.00199963	0.00868445	0.00331200	0.00000367	0.00014260	0.00003343	0.00006399	0.00000000	0.00079867	0.00274360	0.00011285	0.00000432
KANDR03_9	281	0.93945550	0.00369911	0.01238886	0.00000203	0.00000000	0.00013621	0.01378619	0.01427502	0.00325124	0.00000200	0.00002991	0.00000000	0.00000364	0.00069282	0.00000000	0.00052143	0.00363451	0.00042844	0.00137039	0.00199828	0.00001113	0.00024710	0.00002548	0.00000000	0.00238367	0.00118085	0.00047619	0.00000000
KANDR03_10	281	0.99127561	0.00040502	0.00000098	0.00000119	0.00000000	0.00334102	0.00027564	0.00024312	0.00013243	0.00000003	0.00001260	0.00000000	0.00304667	0.00002973	0.00000000	0.00002562	0.00031111	0.00000723	0.00003295	0.00002958	0.00000318	0.00001765	0.00000002	0.00000000	0.00007006	0.00062029	0.00011823	0.00000003
KANDR03_11	280	0.70593274	0.17543185	0.00002130	0.00000087	0.00000000	0.00657103	0.01030483	0.09171936	0.00110171	0.00000001	0.00005962	0.00000000	0.00020160	0.00010326	0.00000000	0.00167775	0.00078965	0.00130033	0.00004073	0.00000006	0.00060171	0.00005160	0.00000273	0.00000000	0.00100213	0.00006365	0.00302146	0.00000000
KANDR03_12	281	0.96147173	0.00006921	0.00042954	0.00003402	0.00000000	0.00000737	0.00027387	0.00096150	0.00001731	0.00000178	0.00008975	0.00000000	0.00000429	0.00004457	0.00000000	0.00001729	0.00000867	0.00036992	0.00000464	0.00006029	0.00002948	0.00000003	0.00000474	0.00000000	0.00022987	0.03574193	0.00012820	0.00000000
KANDR03_13	281	0.17688651	0.00903797	0.01289265	0.00069938	0.00000000	0.01492241	0.00169239	0.00328294	0.34392652	0.00004729	0.01442015	0.00000000	0.12615153	0.01433704	0.00000000	0.00389656	0.00076050	0.01476224	0.00046779	0.01704314	0.00000629	0.24045472	0.00000016	0.00000000	0.00007673	0.00017699	0.00405794	0.00000014
KANDR03_14	281	0.88022803	0.00032465	0.00001524	0.00477722	0.00000000	0.00011104	0.00526155	0.02266026	0.05431327	0.00004633	0.00003712	0.00000000	0.00002532	0.00090023	0.00000000	0.00043382	0.01520254	0.00047798	0.00759097	0.00001682	0.00022118	0.00009845	0.00000028	0.00000000	0.00162136	0.00525108	0.00038513	0.00000013
