## trace file of reporting unit Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
0	0.11321416	0.02967054	0.11477896	0.11261182	0.62972451
20	0.11690741	0.02916159	0.11773389	0.10321660	0.63298051
40	0.10213205	0.02866950	0.12732406	0.10842278	0.63345161
60	0.11908737	0.03361117	0.11442847	0.10749445	0.62537855
80	0.10998340	0.03255245	0.11773646	0.10852343	0.63120425
100	0.10488992	0.03239410	0.10986956	0.11912718	0.63371925
120	0.10922799	0.03258247	0.12884078	0.10334004	0.62600871
140	0.11220843	0.02921184	0.12932202	0.10308496	0.62617275
160	0.11852253	0.03333672	0.11516481	0.10877646	0.62419949
180	0.11162891	0.03594423	0.11692639	0.10811882	0.62738166
200	0.11708742	0.03149855	0.11633046	0.11094206	0.62414152
220	0.10079871	0.03261815	0.11295601	0.10804804	0.64557909
240	0.09046331	0.03412473	0.12786110	0.10399924	0.64355161
260	0.11818422	0.03033544	0.11263335	0.09312161	0.64572539
280	0.10591167	0.03731625	0.11095462	0.10281325	0.64300420
300	0.11676025	0.03190611	0.13037150	0.09194186	0.62902029
320	0.11575519	0.03097210	0.12786194	0.10418989	0.62122088
340	0.09828672	0.03345365	0.12040147	0.10201533	0.64584283
360	0.10561062	0.03180396	0.11858251	0.10906993	0.63493299
380	0.11546258	0.03074000	0.11547443	0.10728641	0.63103658
400	0.11421208	0.03353045	0.11664613	0.09849550	0.63711584
420	0.11593791	0.02768935	0.12012173	0.12124522	0.61500579
440	0.11297673	0.03942424	0.11625980	0.10447716	0.62686207
460	0.10881328	0.02988401	0.11655142	0.10453926	0.64021204
480	0.10355310	0.03713638	0.11696076	0.10459890	0.63775086
500	0.09182312	0.04018298	0.11298859	0.10613940	0.64886590
520	0.10105128	0.03216199	0.11737570	0.10838813	0.64102291
540	0.11854787	0.03118183	0.11478965	0.10987971	0.62560094
560	0.10926799	0.03082116	0.10946066	0.09175610	0.65869410
580	0.09827619	0.03265695	0.11452833	0.11501706	0.63952147
600	0.11917331	0.02729723	0.12562803	0.11626007	0.61164135
620	0.11449207	0.03107259	0.12311911	0.10663810	0.62467813
640	0.11016695	0.03461162	0.11820183	0.11543707	0.62158253
660	0.11412979	0.03187778	0.11535009	0.10555461	0.63308773
680	0.10043466	0.03524633	0.11259505	0.09307361	0.65865035
700	0.10525387	0.03832021	0.11591941	0.10839267	0.63211384
720	0.11970129	0.04046172	0.12039377	0.09502303	0.62442020
740	0.10390556	0.03041337	0.12212084	0.09674352	0.64681671
760	0.12227434	0.03471666	0.11251711	0.09802362	0.63246827
780	0.11029630	0.03651034	0.10697388	0.10717977	0.63903971
800	0.11109097	0.02580403	0.11976075	0.10150997	0.64183428
820	0.10538969	0.02743132	0.11983796	0.10347480	0.64386624
840	0.11435501	0.02958479	0.11336479	0.10848894	0.63420647
860	0.11269287	0.02787455	0.13824906	0.10500141	0.61618211
880	0.11229269	0.03150371	0.12065707	0.12818449	0.60736204
900	0.09860017	0.04042024	0.12779167	0.11065676	0.62253116
920	0.10726737	0.03526105	0.12147200	0.09741070	0.63858889
940	0.11249922	0.02977064	0.11809753	0.10183514	0.63779746
960	0.11276545	0.03038021	0.11665222	0.11031321	0.62988891
980	0.11255031	0.02444638	0.12305893	0.09992934	0.64001504
1000	0.10100907	0.03449876	0.11005302	0.10691831	0.64752084
1020	0.12131394	0.02544890	0.11515921	0.10845136	0.62962659
1040	0.10582117	0.04007602	0.11988862	0.11636994	0.61784424
1060	0.11875290	0.03161793	0.12926435	0.10060243	0.61976239
1080	0.11560727	0.03132396	0.10923731	0.10463682	0.63919464
1100	0.10173653	0.03269233	0.11428716	0.11294929	0.63833469
1120	0.10778874	0.03635033	0.11016255	0.10236338	0.64333500
1140	0.11204926	0.03790275	0.11488644	0.11156214	0.62359941
1160	0.11143311	0.03270207	0.13159654	0.10157676	0.62269152
1180	0.10181552	0.03253474	0.12245338	0.10297765	0.64021871
1200	0.11743985	0.02858176	0.12356648	0.10432477	0.62608714
1220	0.10230509	0.03238520	0.12586812	0.10471122	0.63473037
1240	0.11446170	0.03562487	0.11899282	0.10501325	0.62590736
1260	0.09760361	0.02838681	0.12280372	0.11024002	0.64096584
1280	0.11123689	0.03285878	0.12855046	0.10944562	0.61790826
1300	0.10192656	0.03187976	0.12148819	0.09299116	0.65171433
1320	0.10365421	0.02875495	0.12684536	0.10507172	0.63567375
1340	0.12121784	0.02656437	0.11594585	0.10837389	0.62789805
1360	0.10784600	0.03221462	0.12606402	0.10732089	0.62655447
1380	0.11127493	0.03467039	0.12180399	0.12775710	0.60449360
1400	0.10548261	0.03917276	0.11289706	0.10440083	0.63804674
1420	0.09477931	0.03775045	0.11137777	0.10871513	0.64737734
1440	0.10814377	0.03055136	0.11849726	0.10796391	0.63484370
1460	0.09418499	0.02786820	0.11491188	0.10445598	0.65857895
1480	0.12904645	0.03209333	0.12200647	0.10968621	0.60716755
1500	0.09698486	0.03065998	0.12973256	0.12161944	0.62100317
1520	0.10507682	0.03491503	0.12778253	0.11901426	0.61321136
1540	0.12267885	0.03347557	0.12043175	0.10631217	0.61710167
1560	0.11109859	0.03162783	0.11588720	0.11154463	0.62984175
1580	0.11633349	0.02287973	0.11271341	0.09929525	0.64877813
1600	0.11007206	0.02930114	0.11540673	0.10386872	0.64135135
1620	0.11490914	0.03038556	0.11770577	0.11407972	0.62291981
1640	0.10492312	0.03758597	0.10692608	0.11712059	0.63344424
1660	0.10970265	0.03662466	0.13029941	0.09287785	0.63049543
1680	0.10931685	0.02803760	0.12786802	0.10802246	0.62675506
1700	0.11361358	0.03054312	0.12294582	0.10883456	0.62406292
1720	0.11733178	0.02643081	0.12113412	0.09751825	0.63758505
1740	0.11351794	0.03216242	0.11654204	0.10233606	0.63544155
1760	0.11362471	0.03088181	0.11855612	0.09853936	0.63839799
1780	0.10859763	0.03898477	0.12859505	0.10323208	0.62059048
1800	0.09931502	0.03767153	0.12092590	0.10327545	0.63881210
1820	0.11027490	0.02975465	0.10848990	0.11227953	0.63920101
1840	0.11040765	0.02915096	0.11880161	0.10860937	0.63303041
1860	0.10947329	0.03132024	0.12855101	0.09426915	0.63638631
1880	0.10534517	0.03038654	0.12849571	0.10595153	0.62982105
1900	0.11632376	0.02436841	0.13712416	0.09266651	0.62951716
1920	0.11127259	0.02788618	0.11913868	0.10778552	0.63391703
1940	0.11046601	0.03171347	0.11897246	0.10853456	0.63031350
