## reporting unit PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	LocNum	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANDR03_1	280	0.00000457	0.00000000	0.00000000	0.98115141	0.01884403
KANDR03_2	281	0.00008331	0.00000000	0.00000000	0.94421799	0.05569870
KANDR03_3	280	0.00485171	0.00000000	0.00000000	0.35562506	0.63952323
KANDR03_4	281	0.00000209	0.00000000	0.00000000	0.99890251	0.00109540
KANDR03_5	281	0.00000292	0.00000000	0.00000000	0.99986330	0.00013379
KANDR03_6	280	0.00021446	0.00000000	0.00000000	0.90520954	0.09457600
KANDR03_7	280	0.00005828	0.00000000	0.00000000	0.03234105	0.96760067
KANDR03_8	281	0.00005676	0.00000000	0.00000000	0.94332382	0.05661942
KANDR03_9	281	0.00015917	0.00000000	0.00000000	0.95445067	0.04539017
KANDR03_10	281	0.00001030	0.00000000	0.00000000	0.99407002	0.00591968
KANDR03_11	280	0.00003502	0.00000000	0.00000000	0.88198941	0.11797557
KANDR03_12	281	0.00000350	0.00000000	0.00000000	0.96664188	0.03335462
KANDR03_13	281	0.18078282	0.00000000	0.00000000	0.62813303	0.19108416
KANDR03_14	281	0.00008485	0.00000000	0.00000000	0.94065727	0.05925788
KANDR03_15	280	0.00517650	0.00000000	0.00000000	0.02735530	0.96746820
KANDR03_16	280	0.00008188	0.00000000	0.00000052	0.93149420	0.06842340
KANDR03_17	281	0.00022173	0.00000000	0.00000000	0.40200769	0.59777058
KANDR03_18	281	0.00004278	0.00000000	0.00000008	0.54733122	0.45262592
KANDR03_19	281	0.00000209	0.00000000	0.00000000	0.99890251	0.00109540
KANDR03_20	281	0.00196492	0.00000000	0.00000000	0.90702273	0.09101235
KANDR03_21	280	0.00786646	0.00000000	0.00000000	0.88633935	0.10579419
KANDR03_22	280	0.00007647	0.00000000	0.00000000	0.03507712	0.96484642
KANDR03_23	279	0.00000318	0.00000000	0.00000000	0.84162128	0.15837555
KANDR03_24	281	0.00402668	0.00000000	0.00000000	0.54688907	0.44908425
KANDR03_25	281	0.00002882	0.00000000	0.00000000	0.92511610	0.07485508
KANDR03_26	280	0.01323655	0.00000000	0.00000000	0.14889966	0.83786379
KANDR03_27	279	0.00081419	0.00000000	0.00000000	0.93240014	0.06678567
KANDR03_28	279	0.00217953	0.00000000	0.00000000	0.77507985	0.22274062
KANDR03_29	278	0.01201552	0.00000000	0.00000000	0.05546615	0.93251833
KANDR03_30	281	0.00105273	0.00000000	0.00000000	0.95426567	0.04468160
KANDR03_31	281	0.00002488	0.00000000	0.00000000	0.99733482	0.00264030
KANDR03_32	278	0.00074583	0.00000000	0.00000000	0.52119516	0.47805901
KANDR03_33	270	0.00059333	0.00000000	0.00000000	0.61759543	0.38181124
KANDR03_34	277	0.00000516	0.00000000	0.00000000	0.99444821	0.00554663
KANDR03_35	280	0.00009474	0.00000000	0.00000000	0.89857704	0.10132822
KANDR03_36	281	0.00506554	0.00000000	0.00000000	0.96363939	0.03129506
KANDR03_37	274	0.00001858	0.00000000	0.00074649	0.97198012	0.02725481
KANDR03_38	281	0.00040368	0.00000000	0.00000008	0.81351054	0.18608570
KANDR03_39	281	0.00001103	0.00000000	0.00000000	0.98501106	0.01497791
KANDR03_40	281	0.00191935	0.00000000	0.00000000	0.94660324	0.05147741
KANDR03_41	280	0.43152877	0.00000000	0.00000000	0.54054850	0.02792272
KANDR03_42	280	0.00059803	0.00000000	0.00000000	0.96643836	0.03296361
KANDR03_43	280	0.11236335	0.00000000	0.00000000	0.85769753	0.02993912
KANDR03_44	280	0.00003404	0.00000000	0.00000000	0.98725757	0.01270839
KANDR03_45	279	0.00002741	0.00000000	0.00000000	0.93482878	0.06514381
KANDR03_46	278	0.00000896	0.00000000	0.00000000	0.96271976	0.03727127
KANDR03_47	279	0.25976691	0.00000000	0.00000000	0.71715990	0.02307320
KANDR03_48	280	0.00006062	0.00000000	0.00000000	0.70706813	0.29287125
KANDR03_49	281	0.00004990	0.00000000	0.00000000	0.98993391	0.01001620
KANDR03_50	281	0.00312853	0.00000000	0.00000000	0.67138118	0.32549029
KANDR03_51	281	0.00004426	0.00000000	0.00000000	0.45269594	0.54725979
KANDR03_52	280	0.00770902	0.00000000	0.00000000	0.60967691	0.38261407
KANDR03_53	279	0.00015609	0.00000000	0.00000000	0.58116283	0.41868108
KANDR03_54	280	0.00019605	0.00000000	0.00000000	0.99705344	0.00275052
KANDR03_55	276	0.00011454	0.00000000	0.00000000	0.99392286	0.00596259
KANDR03_56	281	0.00000469	0.00000000	0.00000000	0.07775083	0.92224448
KANDR03_57	280	0.00000715	0.00000000	0.00000001	0.99474115	0.00525170
KANDR03_58	280	0.00150247	0.00000000	0.00000000	0.59984371	0.39865382
KANDR03_59	281	0.00008709	0.00000000	0.00000000	0.99926306	0.00064985
KANDR03_60	281	0.67918617	0.00000000	0.00000000	0.12079521	0.20001862
KANDR03_61	281	0.00003217	0.00000000	0.00000000	0.99892696	0.00104087
KANDR03_62	279	0.00000201	0.00000000	0.00000000	0.98840346	0.01159453
KANDR03_63	281	0.00000042	0.00000000	0.00000000	0.99886608	0.00113350
KANDR03_64	281	0.00000502	0.00000000	0.00000000	0.99626920	0.00372578
KANDR03_65	279	0.00151576	0.00000000	0.00000000	0.58522208	0.41326215
KANDR03_66	281	0.00018416	0.00000000	0.00000000	0.92178198	0.07803386
KANDR03_67	281	0.00038059	0.00000000	0.00000000	0.27949720	0.72012221
KANDR03_68	281	0.00005552	0.00000000	0.00000000	0.98862594	0.01131854
KANDR03_69	281	0.00003060	0.00000000	0.00000000	0.84806397	0.15190543
