## reporting unit PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	LocNum	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANDR03_1	280	0.00000477	0.00000000	0.00000000	0.98047898	0.01951625
KANDR03_2	281	0.00008713	0.00000000	0.00000000	0.94384762	0.05606526
KANDR03_3	280	0.00494852	0.00000000	0.00000000	0.34850368	0.64654780
KANDR03_4	281	0.00000219	0.00000000	0.00000000	0.99888822	0.00110960
KANDR03_5	281	0.00000305	0.00000000	0.00000000	0.99985815	0.00013880
KANDR03_6	280	0.00022266	0.00000000	0.00000000	0.89902631	0.10075103
KANDR03_7	280	0.00005809	0.00000000	0.00000000	0.03058672	0.96935519
KANDR03_8	281	0.00005961	0.00000000	0.00000000	0.94045596	0.05948443
KANDR03_9	281	0.00016638	0.00000000	0.00000000	0.95283306	0.04700056
KANDR03_10	281	0.00001077	0.00000000	0.00000000	0.99349992	0.00648930
KANDR03_11	280	0.00003631	0.00000000	0.00000000	0.88045408	0.11950961
KANDR03_12	281	0.00000368	0.00000000	0.00000000	0.96586823	0.03412809
KANDR03_13	281	0.18025343	0.00000000	0.00000000	0.61048180	0.20926477
KANDR03_14	281	0.00008837	0.00000000	0.00000000	0.94019076	0.05972087
KANDR03_15	280	0.00540394	0.00000000	0.00000000	0.02828747	0.96630859
KANDR03_16	280	0.00008539	0.00000000	0.00000054	0.93040274	0.06951133
KANDR03_17	281	0.00022865	0.00000000	0.00000000	0.39283880	0.60693254
KANDR03_18	281	0.00004391	0.00000000	0.00000008	0.54151544	0.45844056
KANDR03_19	281	0.00000219	0.00000000	0.00000000	0.99888822	0.00110960
KANDR03_20	281	0.00202996	0.00000000	0.00000000	0.90498735	0.09298269
KANDR03_21	280	0.00826598	0.00000000	0.00000000	0.87975957	0.11197445
KANDR03_22	280	0.00007904	0.00000000	0.00000000	0.03480277	0.96511819
KANDR03_23	279	0.00000321	0.00000000	0.00000000	0.84529161	0.15470517
KANDR03_24	281	0.00414328	0.00000000	0.00000000	0.54081761	0.45503910
KANDR03_25	281	0.00003007	0.00000000	0.00000000	0.92251398	0.07745595
KANDR03_26	280	0.01311572	0.00000000	0.00000000	0.14439906	0.84248522
KANDR03_27	279	0.00085775	0.00000000	0.00000000	0.93071854	0.06842371
KANDR03_28	279	0.00218313	0.00000000	0.00000000	0.73296661	0.26485026
KANDR03_29	278	0.01269618	0.00000000	0.00000000	0.05768790	0.92961592
KANDR03_30	281	0.00110217	0.00000000	0.00000000	0.95074621	0.04815162
KANDR03_31	281	0.00002602	0.00000000	0.00000000	0.99713868	0.00283530
KANDR03_32	278	0.00076753	0.00000000	0.00000000	0.51579313	0.48343934
KANDR03_33	270	0.00062300	0.00000000	0.00000000	0.61805044	0.38132656
KANDR03_34	277	0.00000540	0.00000000	0.00000000	0.99384497	0.00614963
KANDR03_35	280	0.00009846	0.00000000	0.00000000	0.89653584	0.10336571
KANDR03_36	281	0.00528885	0.00000000	0.00000000	0.96166749	0.03304366
KANDR03_37	274	0.00001958	0.00000000	0.00077255	0.97183843	0.02736945
KANDR03_38	281	0.00041076	0.00000000	0.00000008	0.80770633	0.19188283
KANDR03_39	281	0.00001159	0.00000000	0.00000000	0.98463458	0.01535383
KANDR03_40	281	0.00199912	0.00000000	0.00000000	0.94664089	0.05135999
KANDR03_41	280	0.44162525	0.00000000	0.00000000	0.52873440	0.02964036
KANDR03_42	280	0.00062293	0.00000000	0.00000000	0.96609551	0.03328155
KANDR03_43	280	0.11807086	0.00000000	0.00000000	0.85082477	0.03110437
KANDR03_44	280	0.00003600	0.00000000	0.00000000	0.98672023	0.01324377
KANDR03_45	279	0.00002897	0.00000000	0.00000000	0.93479058	0.06518045
KANDR03_46	278	0.00000933	0.00000000	0.00000000	0.96106950	0.03892117
KANDR03_47	279	0.26830621	0.00000000	0.00000000	0.70827226	0.02342153
KANDR03_48	280	0.00006317	0.00000000	0.00000000	0.69810903	0.30182780
KANDR03_49	281	0.00005218	0.00000000	0.00000000	0.98948301	0.01046480
KANDR03_50	281	0.00328174	0.00000000	0.00000000	0.67146476	0.32525350
KANDR03_51	281	0.00004733	0.00000000	0.00000000	0.45697066	0.54298201
KANDR03_52	280	0.00805848	0.00000000	0.00000000	0.60999113	0.38195038
KANDR03_53	279	0.00016186	0.00000000	0.00000000	0.57858972	0.42124842
KANDR03_54	280	0.00020768	0.00000000	0.00000000	0.99703859	0.00275374
KANDR03_55	276	0.00011984	0.00000000	0.00000000	0.99387893	0.00600123
KANDR03_56	281	0.00000483	0.00000000	0.00000000	0.07874838	0.92124679
KANDR03_57	280	0.00000751	0.00000000	0.00000001	0.99448510	0.00550738
KANDR03_58	280	0.00154658	0.00000000	0.00000000	0.59493855	0.40351488
KANDR03_59	281	0.00009088	0.00000000	0.00000000	0.99924059	0.00066853
KANDR03_60	281	0.68545182	0.00000000	0.00000000	0.11700649	0.19754169
KANDR03_61	281	0.00003406	0.00000000	0.00000000	0.99891942	0.00104651
KANDR03_62	279	0.00000212	0.00000000	0.00000000	0.98763027	0.01236761
KANDR03_63	281	0.00000043	0.00000000	0.00000000	0.99888484	0.00111473
KANDR03_64	281	0.00000528	0.00000000	0.00000000	0.99619900	0.00379572
KANDR03_65	279	0.00155835	0.00000000	0.00000000	0.57967396	0.41876769
KANDR03_66	281	0.00019463	0.00000000	0.00000000	0.92140339	0.07840198
KANDR03_67	281	0.00038932	0.00000000	0.00000000	0.27528322	0.72432746
KANDR03_68	281	0.00005799	0.00000000	0.00000000	0.98821434	0.01172767
KANDR03_69	281	0.00003044	0.00000000	0.00000000	0.84516557	0.15480400
KANDR03_70	281	0.00019257	0.00000000	0.00000317	0.82284445	0.17695981
KANDR03_71	280	0.00007374	0.00000000	0.00000000	0.12259545	0.87733081
KANDR03_72	281	0.00010801	0.00000000	0.00000000	0.17764769	0.82224430
KANDR03_73	281	0.00216896	0.00000000	0.00000000	0.50071239	0.49711865
KANDR03_74	281	0.00000285	0.00000000	0.00000000	0.99820438	0.00179277
KANDR03_75	281	0.00046328	0.00000000	0.00000001	0.98991150	0.00962521
KANDR03_76	281	0.00137671	0.00000000	0.00000001	0.89015513	0.10846815
KANDR03_77	281	0.00000189	0.00000000	0.00000000	0.99749230	0.00250580
KANDR03_78	280	0.04782527	0.00000000	0.00000000	0.49247363	0.45970110
KANDR03_79	281	0.00076274	0.00000000	0.00000000	0.98693221	0.01230505
KANDR03_80	281	0.00020201	0.00000000	0.00000000	0.90239745	0.09740054
KANDR03_81	281	0.00397205	0.00000000	0.00000000	0.96882329	0.02720466
KANDR03_82	280	0.00650295	0.00000000	0.00000000	0.12111593	0.87238113
KANDR03_83	280	0.00017239	0.00000000	0.00000000	0.97839843	0.02142918
KANDR03_84	281	0.00021655	0.00000000	0.00000000	0.65646810	0.34331534
KANDR03_85	281	0.00012849	0.00000000	0.00000000	0.95751912	0.04235238
KANDR03_86	279	0.00000589	0.00000000	0.00000000	0.97806557	0.02192854
KANDR03_87	280	0.00388072	0.00000000	0.00000000	0.88018646	0.11593281
KANDR03_88	278	0.00037066	0.00000000	0.00000000	0.16109792	0.83853141
KANDR03_89	281	0.00001088	0.00000000	0.00000000	0.91040369	0.08958543
KANDR03_90	278	0.00004705	0.00000000	0.00000000	0.96795235	0.03200059
KANVI07_1	280	0.00001823	0.00000000	0.00000000	0.32468952	0.67529225
KANVI07_2	281	0.00671794	0.00000000	0.00002292	0.68211033	0.31114881
KANVI07_3	280	0.00023091	0.00000000	0.00000000	0.88569020	0.11407889
KANVI07_4	279	0.00004845	0.00000000	0.00000021	0.99983596	0.00011538
KANVI07_5	281	0.00001132	0.00000000	0.00000000	0.89505929	0.10492939
KANVI07_6	281	0.00000023	0.00000000	0.00000000	0.99993801	0.00006176
