## reporting unit PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANDR03_1	Posterior.Mean	0.00000459	0.00000000	0.00000000	0.98096142	0.01903399
KANDR03_1	SD	0.00000076	0.00000000	0.00000000	0.00264046	0.00263999
KANDR03_2	Posterior.Mean	0.00008368	0.00000000	0.00000000	0.94375522	0.05616110
KANDR03_2	SD	0.00001551	0.00000000	0.00000000	0.00781440	0.00780595
KANDR03_3	Posterior.Mean	0.00485751	0.00000000	0.00000000	0.35725296	0.63788952
KANDR03_3	SD	0.00064257	0.00000000	0.00000000	0.03160034	0.03173260
KANDR03_4	Posterior.Mean	0.00000211	0.00000000	0.00000000	0.99888815	0.00110974
KANDR03_4	SD	0.00000033	0.00000000	0.00000000	0.00015539	0.00015516
KANDR03_5	Posterior.Mean	0.00000293	0.00000000	0.00000000	0.99986253	0.00013453
KANDR03_5	SD	0.00000056	0.00000000	0.00000000	0.00001892	0.00001858
KANDR03_6	Posterior.Mean	0.00021596	0.00000000	0.00000000	0.90480298	0.09498106
KANDR03_6	SD	0.00003068	0.00000000	0.00000000	0.01297971	0.01296018
KANDR03_7	Posterior.Mean	0.00005863	0.00000000	0.00000000	0.03258568	0.96735569
KANDR03_7	SD	0.00000949	0.00000000	0.00000000	0.00385580	0.00385766
KANDR03_8	Posterior.Mean	0.00005726	0.00000000	0.00000000	0.94300962	0.05693312
KANDR03_8	SD	0.00000899	0.00000000	0.00000000	0.00804657	0.00804146
KANDR03_9	Posterior.Mean	0.00016006	0.00000000	0.00000000	0.95433288	0.04550706
KANDR03_9	SD	0.00002844	0.00000000	0.00000000	0.00595319	0.00593620
KANDR03_10	Posterior.Mean	0.00001036	0.00000000	0.00000000	0.99401929	0.00597035
KANDR03_10	SD	0.00000198	0.00000000	0.00000000	0.00095835	0.00095734
KANDR03_11	Posterior.Mean	0.00003513	0.00000000	0.00000000	0.88168566	0.11827921
KANDR03_11	SD	0.00000599	0.00000000	0.00000000	0.01557774	0.01557544
KANDR03_12	Posterior.Mean	0.00000353	0.00000000	0.00000000	0.96652957	0.03346690
KANDR03_12	SD	0.00000059	0.00000000	0.00000000	0.00664874	0.00664851
