## reporting unit PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	LocNum	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANDR03_1	280	0.00000790	0.00000000	0.00000000	0.97800428	0.02198782
KANDR03_2	281	0.00014332	0.00000000	0.00000000	0.94026991	0.05958677
KANDR03_3	280	0.00742732	0.00000000	0.00000000	0.31664760	0.67592509
KANDR03_4	281	0.00000381	0.00000000	0.00000000	0.99881372	0.00118247
KANDR03_5	281	0.00000502	0.00000000	0.00000000	0.99983263	0.00016234
KANDR03_6	280	0.00037355	0.00000000	0.00000000	0.87656419	0.12306226
KANDR03_7	280	0.00008456	0.00000000	0.00000000	0.02484121	0.97507423
KANDR03_8	281	0.00010182	0.00000000	0.00000000	0.93040363	0.06949454
KANDR03_9	281	0.00027458	0.00000000	0.00000000	0.94640585	0.05331958
KANDR03_10	281	0.00001773	0.00000000	0.00000000	0.99181307	0.00816920
KANDR03_11	280	0.00005435	0.00000000	0.00000000	0.88246630	0.11747935
KANDR03_12	281	0.00000654	0.00000000	0.00000000	0.96155825	0.03843521
KANDR03_13	281	0.24050231	0.00000000	0.00000000	0.52985099	0.22964669
KANDR03_14	281	0.00014519	0.00000000	0.00000000	0.93486595	0.06498886
KANDR03_15	280	0.00831693	0.00000000	0.00000000	0.03635530	0.95532777
KANDR03_16	280	0.00013622	0.00000000	0.00000058	0.92517260	0.07469060
KANDR03_17	281	0.00037197	0.00000000	0.00000000	0.35660441	0.64302362
KANDR03_18	281	0.00006668	0.00000000	0.00000008	0.51001623	0.48991701
KANDR03_19	281	0.00000381	0.00000000	0.00000000	0.99881372	0.00118247
KANDR03_20	281	0.00334410	0.00000000	0.00000000	0.89374799	0.10290790
KANDR03_21	280	0.01444517	0.00000000	0.00000000	0.84965879	0.13589604
KANDR03_22	280	0.00011956	0.00000000	0.00000000	0.03239415	0.96748629
KANDR03_23	279	0.00000367	0.00000000	0.00000000	0.88564424	0.11435209
KANDR03_24	281	0.00670142	0.00000000	0.00000000	0.51450990	0.47878867
KANDR03_25	281	0.00004906	0.00000000	0.00000000	0.91202210	0.08792884
KANDR03_26	280	0.01808670	0.00000000	0.00000000	0.13509919	0.84681410
KANDR03_27	279	0.00150775	0.00000000	0.00000000	0.92212834	0.07636392
KANDR03_28	279	0.00327917	0.00000000	0.00000000	0.60423928	0.39248156
KANDR03_29	278	0.01960821	0.00000000	0.00000000	0.05963588	0.92075591
KANDR03_30	281	0.00186500	0.00000000	0.00000000	0.93994089	0.05819411
KANDR03_31	281	0.00004293	0.00000000	0.00000000	0.99647442	0.00348265
KANDR03_32	278	0.00124388	0.00000000	0.00000000	0.50367055	0.49508557
KANDR03_33	270	0.00102822	0.00000000	0.00000000	0.62521834	0.37375345
KANDR03_34	277	0.00000901	0.00000000	0.00000000	0.99158254	0.00840845
KANDR03_35	280	0.00013672	0.00000000	0.00000000	0.88545923	0.11440406
KANDR03_36	281	0.00863161	0.00000000	0.00000000	0.95246743	0.03890096
KANDR03_37	274	0.00003490	0.00000000	0.00083914	0.96921455	0.02991141
KANDR03_38	281	0.00063638	0.00000000	0.00000008	0.78871453	0.21064901
KANDR03_39	281	0.00001982	0.00000000	0.00000000	0.98252458	0.01745560
KANDR03_40	281	0.00309764	0.00000000	0.00000000	0.94457043	0.05233193
KANDR03_41	280	0.56256553	0.00000000	0.00000000	0.40823191	0.02920256
KANDR03_42	280	0.00107215	0.00000000	0.00000000	0.96311959	0.03580826
KANDR03_43	280	0.19526207	0.00000000	0.00000000	0.77176437	0.03297356
KANDR03_44	280	0.00006510	0.00000000	0.00000000	0.98451938	0.01541552
KANDR03_45	279	0.00005217	0.00000000	0.00000000	0.93258722	0.06736062
KANDR03_46	278	0.00001538	0.00000000	0.00000000	0.94918819	0.05079642
KANDR03_47	279	0.37481694	0.00000000	0.00000000	0.60305726	0.02212580
KANDR03_48	280	0.00010665	0.00000000	0.00000000	0.67300535	0.32688800
KANDR03_49	281	0.00008488	0.00000000	0.00000000	0.98739805	0.01251707
KANDR03_50	281	0.00552150	0.00000000	0.00000000	0.66514066	0.32933784
KANDR03_51	281	0.00008634	0.00000000	0.00000000	0.45652056	0.54339310
KANDR03_52	280	0.01287436	0.00000000	0.00000000	0.59797650	0.38914914
KANDR03_53	279	0.00026505	0.00000000	0.00000000	0.55587260	0.44386235
KANDR03_54	280	0.00037898	0.00000000	0.00000000	0.99667368	0.00294734
KANDR03_55	276	0.00019766	0.00000000	0.00000000	0.99335077	0.00645157
KANDR03_56	281	0.00000754	0.00000000	0.00000000	0.09973404	0.90025842
KANDR03_57	280	0.00001252	0.00000000	0.00000001	0.99380607	0.00618141
KANDR03_58	280	0.00247789	0.00000000	0.00000000	0.57425419	0.42326792
KANDR03_59	281	0.00014489	0.00000000	0.00000000	0.99911356	0.00074156
KANDR03_60	281	0.76598680	0.00000000	0.00000000	0.08216308	0.15185011
KANDR03_61	281	0.00006209	0.00000000	0.00000000	0.99883950	0.00109842
KANDR03_62	279	0.00000379	0.00000000	0.00000000	0.98484684	0.01514937
KANDR03_63	281	0.00000066	0.00000000	0.00000000	0.99903919	0.00096016
KANDR03_64	281	0.00000923	0.00000000	0.00000000	0.99561403	0.00437674
KANDR03_65	279	0.00253990	0.00000000	0.00000000	0.55989445	0.43756565
KANDR03_66	281	0.00034758	0.00000000	0.00000000	0.91414524	0.08550718
KANDR03_67	281	0.00061240	0.00000000	0.00000000	0.25965335	0.73973425
