## trace file of reporting unit ZSum values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
0	268	74	271	232	1430
20	256	74	271	242	1432
40	250	74	270	240	1441
60	253	74	271	236	1441
80	248	74	271	234	1448
100	244	74	271	234	1452
120	247	74	271	225	1458
140	246	74	271	237	1447
160	246	74	271	247	1437
180	247	74	271	229	1454
200	243	74	270	246	1442
220	251	74	270	228	1452
240	254	74	270	239	1438
260	255	74	271	246	1429
280	254	74	271	228	1448
300	258	74	271	242	1430
320	247	74	271	238	1445
340	247	74	270	258	1426
360	251	74	271	244	1435
380	255	74	271	240	1435
400	243	74	271	235	1452
420	250	74	271	249	1431
440	252	74	271	239	1439
460	246	74	271	253	1431
480	249	74	272	239	1441
500	255	74	271	230	1445
520	253	74	272	230	1446
540	246	74	270	255	1430
560	259	74	271	223	1448
580	249	74	270	226	1456
600	246	74	271	243	1441
620	259	74	270	233	1439
640	259	74	270	236	1436
660	257	74	271	245	1428
680	245	74	271	217	1468
700	250	74	271	250	1430
720	250	74	270	241	1440
740	242	74	270	232	1457
760	255	74	270	237	1439
780	241	74	272	235	1453
800	246	74	270	245	1440
820	247	74	271	229	1454
840	257	74	270	236	1438
860	253	74	272	254	1422
880	253	74	271	229	1448
900	250	74	270	241	1440
920	252	74	271	241	1437
940	251	74	270	241	1439
960	251	74	271	241	1438
980	243	74	270	243	1445
1000	252	74	272	231	1446
1020	257	74	270	227	1447
1040	247	74	270	217	1467
1060	251	74	271	234	1445
1080	245	74	270	234	1452
1100	251	74	270	246	1434
1120	250	74	271	251	1429
1140	250	74	272	250	1429
1160	255	74	271	217	1458
1180	246	74	270	242	1443
1200	252	74	271	243	1435
1220	250	74	271	256	1424
1240	246	74	271	243	1441
1260	256	74	272	224	1449
1280	256	74	270	250	1425
1300	247	74	271	234	1449
1320	256	74	271	234	1440
1340	250	74	270	233	1448
1360	249	74	270	249	1433
1380	250	74	272	248	1431
1400	240	74	272	256	1433
1420	247	74	271	240	1443
1440	248	74	272	242	1439
1460	254	74	271	233	1443
1480	248	74	273	242	1438
1500	247	74	270	228	1456
1520	245	74	271	235	1450
1540	253	74	270	227	1451
1560	250	74	272	247	1432
1580	245	74	272	248	1436
1600	249	73	270	236	1447
1620	249	74	271	232	1449
1640	244	74	272	253	1432
1660	243	74	272	234	1452
1680	241	74	271	238	1451
1700	252	74	271	241	1437
1720	248	74	270	245	1438
1740	256	74	271	241	1433
1760	253	74	271	237	1440
1780	248	74	271	235	1447
1800	239	74	271	226	1465
1820	250	74	271	247	1433
1840	259	74	272	239	1431
1860	252	74	270	231	1448
1880	244	74	272	253	1432
1900	240	74	270	243	1448
1920	252	74	272	245	1432
1940	247	74	271	231	1452
1960	256	74	271	243	1431
1980	254	74	271	239	1437
2000	254	74	271	237	1439
2020	256	74	271	226	1448
2040	246	74	272	247	1436
2060	262	74	271	238	1430
2080	263	74	271	234	1433
2100	250	74	270	225	1456
2120	245	74	272	229	1455
2140	242	74	270	237	1452
2160	250	74	270	235	1446
2180	252	74	271	253	1425
2200	260	74	271	231	1439
2220	248	74	271	225	1457
2240	252	74	271	244	1434
2260	248	74	271	218	1464
2280	258	74	270	244	1429
2300	242	74	271	241	1447
2320	249	74	270	233	1449
2340	256	74	271	240	1434
2360	252	74	271	239	1439
2380	254	74	271	228	1448
2400	240	74	270	257	1434
2420	247	74	271	240	1443
2440	257	74	271	243	1430
2460	254	74	271	239	1437
2480	247	74	271	233	1450
2500	252	74	271	229	1449
2520	258	74	271	232	1440
2540	261	74	271	218	1451
2560	252	74	270	241	1438
2580	255	74	270	228	1448
